Customer Key,Customer Name,First Name,Last Name,Customer Value,Customer Email
"CD-12280","Christina DeMoss","Christina","DeMoss","Low Value","a.demoss@fp20analytics.com"
"CD-12790","Cynthia Delaney","Cynthia","Delaney","Low Value","a.delaney@fp20analytics.com"
"CG-12040","Catherine Glotzbach","Catherine","Glotzbach","Low Value","a.glotzbach@fp20analytics.com"
"CG-12520","Claire Gute","Claire","Gute","Low Value","a.gute@fp20analytics.com"
"CH-12070","Cathy Hwang","Cathy","Hwang","Low Value","a.hwang@fp20analytics.com"
"CJ-11875","Carl Jackson","Carl","Jackson","Low Value","a.jackson@fp20analytics.com"
"CJ-12010","Caroline Jumper","Caroline","Jumper","Low Value","a.jumper@fp20analytics.com"
"CK-12205","Chloris Kastensmidt","Chloris","Kastensmidt","Low Value","a.kastensmidt@fp20analytics.com"
"CK-12325","Christine Kargatis","Christine","Kargatis","Low Value","a.kargatis@fp20analytics.com"
"CK-12595","Clytie Kelty","Clytie","Kelty","Low Value","a.kelty@fp20analytics.com"
"CK-12760","Cyma Kinney","Cyma","Kinney","Low Value","a.kinney@fp20analytics.com"
"CL-11890","Carl Ludwig","Carl","Ludwig","Low Value","a.ludwig@fp20analytics.com"
"CL-12565","Clay Ludtke","Clay","Ludtke","Low Value","a.ludtke@fp20analytics.com"
"CL-12700","Craig Leslie","Craig","Leslie","Low Value","a.leslie@fp20analytics.com"
"CM-11815","Candace McMahon","Candace","McMahon","Low Value","a.mcmahon@fp20analytics.com"
"CM-11935","Carlos Meador","Carlos","Meador","Low Value","a.meador@fp20analytics.com"
"CM-12115","Chad McGuire","Chad","McGuire","Low Value","a.mcguire@fp20analytics.com"
"CM-12160","Charles McCrossin","Charles","McCrossin","Low Value","a.mccrossin@fp20analytics.com"
"CM-12190","Charlotte Melton","Charlotte","Melton","Low Value","a.melton@fp20analytics.com"
"CM-12385","Christopher Martinez","Christopher","Martinez","Low Value","a.martinez@fp20analytics.com"
"CM-12445","Chuck Magee","Chuck","Magee","Low Value","a.magee@fp20analytics.com"
"CM-12655","Corinna Mitchell","Corinna","Mitchell","Low Value","a.mitchell@fp20analytics.com"
"CM-12715","Craig Molinari","Craig","Molinari","Low Value","a.molinari@fp20analytics.com"
"CP-12085","Cathy Prescott","Cathy","Prescott","Low Value","a.prescott@fp20analytics.com"
"CP-12340","Christine Phan","Christine","Phan","Low Value","a.phan@fp20analytics.com"
"CR-12580","Clay Rozendal","Clay","Rozendal","Low Value","a.rozendal@fp20analytics.com"
"CR-12625","Corey Roper","Corey","Roper","Low Value","a.roper@fp20analytics.com"
"CR-12730","Craig Reiter","Craig","Reiter","Low Value","a.reiter@fp20analytics.com"
"CR-12820","Cyra Reiten","Cyra","Reiten","Low Value","a.reiten@fp20analytics.com"
"CS-11845","Cari Sayre","Cari","Sayre","Low Value","a.sayre@fp20analytics.com"
"CS-11860","Cari Schnelling","Cari","Schnelling","Low Value","a.schnelling@fp20analytics.com"
"CS-11950","Carlos Soltero","Carlos","Soltero","Low Value","a.soltero@fp20analytics.com"
"CS-12130","Chad Sievert","Chad","Sievert","Low Value","a.sievert@fp20analytics.com"
"CS-12175","Charles Sheldon","Charles","Sheldon","Low Value","a.sheldon@fp20analytics.com"
"CS-12250","Chris Selesnick","Chris","Selesnick","Low Value","a.selesnick@fp20analytics.com"
"CS-12355","Christine Sundaresam","Christine","Sundaresam","Low Value","a.sundaresam@fp20analytics.com"
"CS-12400","Christopher Schild","Christopher","Schild","Low Value","a.schild@fp20analytics.com"
"CS-12460","Chuck Sachs","Chuck","Sachs","Low Value","a.sachs@fp20analytics.com"
"CS-12490","Cindy Schnelling","Cindy","Schnelling","Low Value","a.schnelling@fp20analytics.com"
"CS-12505","Cindy Stewart","Cindy","Stewart","Low Value","a.stewart@fp20analytics.com"
"CT-11995","Carol Triggs","Carol","Triggs","Low Value","a.triggs@fp20analytics.com"
"CV-12295","Christina VanderZanden","Christina","VanderZanden","Low Value","a.vanderzanden@fp20analytics.com"
"CV-12805","Cynthia Voltz","Cynthia","Voltz","Low Value","a.voltz@fp20analytics.com"
"CW-11905","Carl Weiss","Carl","Weiss","Low Value","a.weiss@fp20analytics.com"
"CY-12745","Craig Yedwab","Craig","Yedwab","Low Value","a.yedwab@fp20analytics.com"
"Co-12640","Corey-Lock","Corey","Lock","Low Value","a.lock@fp20analytics.com"
"DA-13450","Dianna Arnett","Dianna","Arnett","Low Value","a.arnett@fp20analytics.com"
"DB-12910","Daniel Byrd","Daniel","Byrd","Low Value","a.byrd@fp20analytics.com"
"DB-12970","Darren Budd","Darren","Budd","Low Value","a.budd@fp20analytics.com"
"DB-13060","Dave Brooks","Dave","Brooks","Low Value","a.brooks@fp20analytics.com"
"DB-13120","David Bremer","David","Bremer","Low Value","a.bremer@fp20analytics.com"
"DB-13210","Dean Braden","Dean","Braden","Low Value","a.braden@fp20analytics.com"
"DB-13270","Deborah Brumfield","Deborah","Brumfield","Low Value","a.brumfield@fp20analytics.com"
"DB-13360","Dennis Bolton","Dennis","Bolton","Low Value","a.bolton@fp20analytics.com"
"DB-13405","Denny Blanton","Denny","Blanton","Low Value","a.blanton@fp20analytics.com"
"DB-13555","Dorothy Badders","Dorothy","Badders","Low Value","a.badders@fp20analytics.com"
"DB-13615","Doug Bickford","Doug","Bickford","Low Value","a.bickford@fp20analytics.com"
"DB-13660","Duane Benoit","Duane","Benoit","Low Value","a.benoit@fp20analytics.com"
"DC-12850","Dan Campbell","Dan","Campbell","Low Value","a.campbell@fp20analytics.com"
"DC-13285","Debra Catini","Debra","Catini","Low Value","a.catini@fp20analytics.com"
"DD-13570","Dorothy Dickinson","Dorothy","Dickinson","Low Value","a.dickinson@fp20analytics.com"
"DE-13255","Deanra Eno","Deanra","Eno","Low Value","a.eno@fp20analytics.com"
"DF-13135","David Flashing","David","Flashing","Low Value","a.flashing@fp20analytics.com"
"DG-13300","Deirdre Greer","Deirdre","Greer","Low Value","a.greer@fp20analytics.com"
"DH-13075","Dave Hallsten","Dave","Hallsten","Low Value","a.hallsten@fp20analytics.com"
"DH-13675","Duane Huffman","Duane","Huffman","Low Value","a.huffman@fp20analytics.com"
"DJ-13420","Denny Joy","Denny","Joy","Low Value","a.joy@fp20analytics.com"
"DJ-13510","Don Jones","Don","Jones","Low Value","a.jones@fp20analytics.com"
"DK-12835","Damala Kotsonis","Damala","Kotsonis","Low Value","a.kotsonis@fp20analytics.com"
"DK-12895","Dana Kaydos","Dana","Kaydos","Low Value","a.kaydos@fp20analytics.com"
"DK-12985","Darren Koutras","Darren","Koutras","Low Value","a.koutras@fp20analytics.com"
"DK-13090","Dave Kipp","Dave","Kipp","Low Value","a.kipp@fp20analytics.com"
"DK-13150","David Kendrick","David","Kendrick","Low Value","a.kendrick@fp20analytics.com"
"DK-13375","Dennis Kane","Dennis","Kane","Low Value","a.kane@fp20analytics.com"
"DL-12865","Dan Lawera","Dan","Lawera","Low Value","a.lawera@fp20analytics.com"
"DL-12925","Daniel Lacy","Daniel","Lacy","Low Value","a.lacy@fp20analytics.com"
"DL-13315","Delfina Latchford","Delfina","Latchford","Low Value","a.latchford@fp20analytics.com"
"DL-13330","Denise Leinenbach","Denise","Leinenbach","Low Value","a.leinenbach@fp20analytics.com"
"DL-13495","Dionis Lloyd","Dionis","Lloyd","Low Value","a.lloyd@fp20analytics.com"
"DM-12955","Dario Medina","Dario","Medina","Low Value","a.medina@fp20analytics.com"
"DM-13015","Darrin Martin","Darrin","Martin","Low Value","a.martin@fp20analytics.com"
"DM-13345","Denise Monton","Denise","Monton","Low Value","a.monton@fp20analytics.com"
"DM-13525","Don Miller","Don","Miller","Low Value","a.miller@fp20analytics.com"
"DN-13690","Duane Noonan","Duane","Noonan","Low Value","a.noonan@fp20analytics.com"
"DO-13435","Denny Ordway","Denny","Ordway","Low Value","a.ordway@fp20analytics.com"
"DO-13645","Doug O'Connell","Doug","O'Connell","Low Value","a.o'connell@fp20analytics.com"
"DP-13000","Darren Powers","Darren","Powers","Low Value","a.powers@fp20analytics.com"
"DP-13105","Dave Poirier","Dave","Poirier","Low Value","a.poirier@fp20analytics.com"
"DP-13165","David Philippe","David","Philippe","Low Value","a.philippe@fp20analytics.com"
"DP-13390","Dennis Pardue","Dennis","Pardue","Low Value","a.pardue@fp20analytics.com"
"DR-12880","Dan Reichenbach","Dan","Reichenbach","Low Value","a.reichenbach@fp20analytics.com"
"DR-12940","Daniel Raglin","Daniel","Raglin","Low Value","a.raglin@fp20analytics.com"
"DS-13030","Darrin Sayre","Darrin","Sayre","Low Value","a.sayre@fp20analytics.com"
"DS-13180","David Smith","David","Smith","Low Value","a.smith@fp20analytics.com"
"DV-13045","Darrin Van Huff","Darrin","Van Huff","Low Value","a.van huff@fp20analytics.com"
"DV-13465","Dianna Vittorini","Dianna","Vittorini","Low Value","a.vittorini@fp20analytics.com"
"DW-13195","David Wiener","David","Wiener","Low Value","a.wiener@fp20analytics.com"
"DW-13540","Don Weiss","Don","Weiss","Low Value","a.weiss@fp20analytics.com"
"DW-13585","Dorothy Wardle","Dorothy","Wardle","Low Value","a.wardle@fp20analytics.com"
"Dl-13600","Dorris liebe","Dorris","liebe","Low Value","a.liebe@fp20analytics.com"
"Dp-13240","Dean percer","Dean","percer","Low Value","a.percer@fp20analytics.com"
"EA-14035","Erin Ashbrook","Erin","Ashbrook","Low Value","a.ashbrook@fp20analytics.com"
"EB-13705","Ed Braxton","Ed","Braxton","Low Value","a.braxton@fp20analytics.com"
"EB-13750","Edward Becker","Edward","Becker","Low Value","a.becker@fp20analytics.com"
"EB-13840","Ellis Ballard","Ellis","Ballard","Low Value","a.ballard@fp20analytics.com"
"EB-13930","Eric Barreto","Eric","Barreto","Low Value","a.barreto@fp20analytics.com"
"EB-13975","Erica Bern","Erica","Bern","Low Value","a.bern@fp20analytics.com"
"EB-14110","Eugene Barchas","Eugene","Barchas","Low Value","a.barchas@fp20analytics.com"
"EB-14170","Evan Bailliet","Evan","Bailliet","Low Value","a.bailliet@fp20analytics.com"
"EC-14050","Erin Creighton","Erin","Creighton","Low Value","a.creighton@fp20analytics.com"
"ED-13885","Emily Ducich","Emily","Ducich","Low Value","a.ducich@fp20analytics.com"
"EG-13900","Emily Grady","Emily","Grady","Low Value","a.grady@fp20analytics.com"
"EH-13765","Edward Hooks","Edward","Hooks","Low Value","a.hooks@fp20analytics.com"
"EH-13945","Eric Hoffmann","Eric","Hoffmann","Low Value","a.hoffmann@fp20analytics.com"
"EH-13990","Erica Hackney","Erica","Hackney","Low Value","a.hackney@fp20analytics.com"
"EH-14005","Erica Hernandez","Erica","Hernandez","Low Value","a.hernandez@fp20analytics.com"
"EH-14125","Eugene Hildebrand","Eugene","Hildebrand","Low Value","a.hildebrand@fp20analytics.com"
"EH-14185","Evan Henry","Evan","Henry","Low Value","a.henry@fp20analytics.com"
"EJ-13720","Ed Jacobs","Ed","Jacobs","Low Value","a.jacobs@fp20analytics.com"
"EJ-14155","Eva Jacobs","Eva","Jacobs","Low Value","a.jacobs@fp20analytics.com"
"EK-13795","Eileen Kiefer","Eileen","Kiefer","Low Value","a.kiefer@fp20analytics.com"
"EL-13735","Ed Ludwig","Ed","Ludwig","Low Value","a.ludwig@fp20analytics.com"
"EM-13810","Eleni McCrary","Eleni","McCrary","Low Value","a.mccrary@fp20analytics.com"
"EM-13825","Elizabeth Moffitt","Elizabeth","Moffitt","Low Value","a.moffitt@fp20analytics.com"
"EM-13960","Eric Murdock","Eric","Murdock","Low Value","a.murdock@fp20analytics.com"
"EM-14065","Erin Mull","Erin","Mull","Low Value","a.mull@fp20analytics.com"
"EM-14095","Eudokia Martin","Eudokia","Martin","Low Value","a.martin@fp20analytics.com"
"EM-14140","Eugene Moren","Eugene","Moren","Low Value","a.moren@fp20analytics.com"
"EM-14200","Evan Minnotte","Evan","Minnotte","Low Value","a.minnotte@fp20analytics.com"
"EN-13780","Edward Nazzal","Edward","Nazzal","Low Value","a.nazzal@fp20analytics.com"
"EP-13915","Emily Phan","Emily","Phan","Low Value","a.phan@fp20analytics.com"
"ER-13855","Elpida Rittenbach","Elpida","Rittenbach","Low Value","a.rittenbach@fp20analytics.com"
"ES-14020","Erica Smith","Erica","Smith","Low Value","a.smith@fp20analytics.com"
"ES-14080","Erin Smith","Erin","Smith","Low Value","a.smith@fp20analytics.com"
"FA-14230","Frank Atkinson","Frank","Atkinson","Low Value","a.atkinson@fp20analytics.com"
"FC-14245","Frank Carlisle","Frank","Carlisle","Low Value","a.carlisle@fp20analytics.com"
"FC-14335","Fred Chung","Fred","Chung","Low Value","a.chung@fp20analytics.com"
"FG-14260","Frank Gastineau","Frank","Gastineau","Low Value","a.gastineau@fp20analytics.com"
"FH-14275","Frank Hawley","Frank","Hawley","Low Value","a.hawley@fp20analytics.com"
"FH-14350","Fred Harton","Fred","Harton","Low Value","a.harton@fp20analytics.com"
"FM-14290","Frank Merwin","Frank","Merwin","Low Value","a.merwin@fp20analytics.com"
"FM-14380","Fred McMath","Fred","McMath","Low Value","a.mcmath@fp20analytics.com"
"FP-14320","Frank Preis","Frank","Preis","Low Value","a.preis@fp20analytics.com"
"FW-14395","Fred Wasserman","Fred","Wasserman","Low Value","a.wasserman@fp20analytics.com"
"GA-14515","George Ashbrook","George","Ashbrook","Low Value","a.ashbrook@fp20analytics.com"
"GA-14725","Guy Armstrong","Guy","Armstrong","Low Value","a.armstrong@fp20analytics.com"
"GB-14530","George Bell","George","Bell","Low Value","a.bell@fp20analytics.com"
"GB-14575","Giulietta Baptist","Giulietta","Baptist","Low Value","a.baptist@fp20analytics.com"
"GD-14590","Giulietta Dortch","Giulietta","Dortch","Low Value","a.dortch@fp20analytics.com"
"GG-14650","Greg Guthrie","Greg","Guthrie","Low Value","a.guthrie@fp20analytics.com"
"GH-14410","Gary Hansen","Gary","Hansen","Low Value","a.hansen@fp20analytics.com"
"GH-14425","Gary Hwang","Gary","Hwang","Low Value","a.hwang@fp20analytics.com"
"GH-14665","Greg Hansen","Greg","Hansen","Low Value","a.hansen@fp20analytics.com"
"GK-14620","Grace Kelly","Grace","Kelly","Low Value","a.kelly@fp20analytics.com"
"GM-14440","Gary McGarr","Gary","McGarr","Low Value","a.mcgarr@fp20analytics.com"
"GM-14455","Gary Mitchum","Gary","Mitchum","Low Value","a.mitchum@fp20analytics.com"
"GM-14500","Gene McClure","Gene","McClure","Low Value","a.mcclure@fp20analytics.com"
"GM-14680","Greg Matthias","Greg","Matthias","Low Value","a.matthias@fp20analytics.com"
"GP-14740","Guy Phonely","Guy","Phonely","Low Value","a.phonely@fp20analytics.com"
"GR-14560","Georgia Rosenberg","Georgia","Rosenberg","Low Value","a.rosenberg@fp20analytics.com"
"GT-14635","Grant Thornton","Grant","Thornton","Low Value","a.thornton@fp20analytics.com"
"GT-14710","Greg Tran","Greg","Tran","Low Value","a.tran@fp20analytics.com"
"GT-14755","Guy Thornton","Guy","Thornton","Low Value","a.thornton@fp20analytics.com"
"GW-14605","Giulietta Weimer","Giulietta","Weimer","Low Value","a.weimer@fp20analytics.com"
"GZ-14470","Gary Zandusky","Gary","Zandusky","Low Value","a.zandusky@fp20analytics.com"
"GZ-14545","George Zrebassa","George","Zrebassa","Low Value","a.zrebassa@fp20analytics.com"
"HA-14905","Helen Abelman","Helen","Abelman","Low Value","a.abelman@fp20analytics.com"
"HA-14920","Helen Andreada","Helen","Andreada","Low Value","a.andreada@fp20analytics.com"
"HD-14785","Harold Dahlen","Harold","Dahlen","Low Value","a.dahlen@fp20analytics.com"
